School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL
Missouri,SEC,9,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri.svg
Indiana,Big Ten,8,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/indiana.svg
Bowling Green,FBS - MAC,8,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/bowling_green.svg
East Carolina,FBS - AAC,7,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/east_carolina.svg
Coastal Carolina,FCS,7,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/coastal_carolina.svg
Central Michigan,FBS - MAC,7,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/central_michigan.svg
Tulsa,FBS - AAC,7,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tulsa.svg
Arizona State,Pac 12,7,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona_st.svg
South Alabama,FBS - Sun Belt,7,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_alabama.svg
Chattanooga,FCS,6,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/chattanooga.svg
Vanderbilt,SEC,6,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/vanderbilt.svg
Troy,FBS - Sun Belt,6,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/troy.svg
Louisiana Tech,FBS - CUSA,6,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/la_tech.svg
California,Pac 12,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/california.svg
Princeton,FCS,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/princeton.svg
Rutgers,Big Ten,5,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/rutgers.svg
San Jose State,FBS - Mountain West,5,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/san_jose_st.svg
Louisiana-Lafayette,FBS - Sun Belt,5,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/louisiana_lafayette.svg
Virginia Tech,ACC,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/virginia_tech.svg
Florida A&M,FCS,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_a&amp;m.svg
Ball State,FBS - MAC,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ball_st.svg
UCF,FBS - AAC,4,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ucf.svg
Southern Miss,FBS - CUSA,4,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/southern_miss.svg
Western Kentucky,FBS - CUSA,4,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/western_kentucky.svg
Shepherd,D2,4,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/shepherd.svg
San Diego State,FBS - Mountain West,3,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/san_diego_st.svg
Jackson State,FCS,3,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/jackson_st.svg
Liberty,FCS,3,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/liberty.svg
Stephen F. Austin,FCS,3,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/stephen_f_austin.svg
Marshall,FBS - CUSA,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/marshall.svg
Toledo,FBS - MAC,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/toledo.svg
Florida Atlantic,FBS - CUSA,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_atlantic.svg
Missouri State,FCS,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/missouri_st.svg
Northern Iowa,FCS,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/northern_iowa.svg
Fordham,FCS,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/fordham.svg
Ferris State,D2,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/ferris_st.svg
Arkansas-Pine Bluff,FCS,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arkansas_pine_bluff.svg
Duke,ACC,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/duke.svg
Charlotte,FBS - CUSA,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/charlotte.svg
Sacramento State,FCS,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/sacramento_st.svg
Minnesota Duluth,D2,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/minnesota_duluth.svg
Rice,FBS - CUSA,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/rice.svg
Memphis,FBS - AAC,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/memphis.svg
Air Force,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/air_force.svg
Hampton,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/hampton.svg
Texas State,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_st.svg
Wagner,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wagner.svg
Campbell,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/campbell.svg
Harvard,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/harvard.svg
Montana,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/montana.svg
William & Mary,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/william&amp;mary.svg
Northern Arizona,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/northern_arizona.svg
Grand Valley State,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/grand_valley_st.svg
South Carolina State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina_st.svg
Incarnate Word,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/incarnate_word.svg
Oklahoma Baptist,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oklahoma_baptist.svg
Utah State,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah_st.svg
North Texas,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_texas.svg
Arizona,Pac 12,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arizona.svg
Nevada,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nevada.svg
Colorado,Pac 12,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado.svg
Bethune-Cookman,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/bethune_cookman.svg
UTSA,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utsa.svg
Middle Tennessee State,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/middle_tennessee_st.svg
Buffalo,FBS - MAC,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/buffalo.svg
Alabama State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama_st.svg
Albany,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/albany.svg
Quincy,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/quincy.png
VMI,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/vmi.svg
Texas A&M-Commerce,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_am_commerce.svg
Wingate,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wingate.png
Pace,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/pace.png
Illinois State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/illinois_st.svg
